Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
AuthBase,AuthBase is a CyberSecurity Company that provides frameworks to help developers secure their applications.,AuthBase is a CyberSecurity Company that provides frameworks to help developers secure their applications. | Type: Cybersecurity company,,,,,7,https://authbase.io,Cybersecurity,,,,https://indiaai.gov.in/startup/authbase
Fleetx.io,Fleetx is an intelligent fleet management platform.,Fleetx is an intelligent fleet management platform. | Type: SaaS company,Vineet Sharma,,"Haryana, India",,51,https://F.ai,SaaS,,,,https://indiaai.gov.in/startup/fleetx-io
DataOne,"DataOne provides customized analytics solutions to enterprises using machine ML, AI, and big data.","DataOne provides customized analytics solutions to enterprises using machine ML, AI, and big data. | Technologies: Data Architecture and design: Build and operate large scale systems capable of processing, storing, and analyzing a wide array of structured and unstructured data | Type: Technology company",Nikunj Thakkar is,,"Gujarat, India",,10,https://dataone.com,Technology,"Data Architecture and design: Build and operate large scale systems capable of processing, storing, and analyzing a wide array of structured and unstructured data, and data complexity are also managed by use of cutting edge technology.",,,https://indiaai.gov.in/startup/dataone
Spire Technologies,Spire technologies is a domain intelligence technology based AI platform that offers a contextual search engine to...,"Spire technologies is a domain intelligence technology based AI platform that offers a contextual search engine to... | Technologies: and Services, Online Recruitment | Type: SaaS company",,2008,"Karnataka, India",,0,https://spiretechnologies.com,SaaS,"and Services, Online Recruitment",,,https://indiaai.gov.in/startup/spire-technologies
Locus.sh,Locus is an intelligent decision-making and automation platform for logistics.,Locus is an intelligent decision-making and automation platform for logistics. | Type: SaaS company,,,,,168,https://tldrlss.com/article/2024/11/how-is-an-out-in-baseball-determined/,SaaS,,,,https://indiaai.gov.in/startup/locus-sh
Parentlane,AI powered pregnancy app and baby care app,AI powered pregnancy app and baby care app | Type: Other company,,,,,17,https://P.ai,Other,,,,https://indiaai.gov.in/startup/parentlane
Tricog Health Pvt Ltd,Tricog provides the fast and accurate real time diagnosis of an ECG using AI,Tricog provides the fast and accurate real time diagnosis of an ECG using AI | Technologies: and Artificial Intelligence to scale to over half a million ECG diagnosis in 4 years. | Type: AI/ML company,,,,,0,https://THPL.com,AI/ML,and Artificial Intelligence to scale to over half a million ECG diagnosis in 4 years.,,,https://indiaai.gov.in/startup/tricog-health-pvt-ltd
GoVocal AI,GoVocal.AI is a platform built to help businesses and developers build Voice Apps for AI assistants like Amazon Alexa...,"GoVocal.AI is a platform built to help businesses and developers build Voice Apps for AI assistants like Amazon Alexa... | Technologies: GoVocal.ai enables developers to build voice technology in business use-cases i.e. voice powered search, and voice activated kiosks etc. It can be used for adding voice capabilities to mobile apps, websites and IoT devices. | Type: SaaS company",,2017,"Haryana, India",,0,https://GA.com,SaaS,"GoVocal.ai enables developers to build voice technology in business use-cases i.e. voice powered search, and voice activated kiosks etc. It can be used for adding voice capabilities to mobile apps, websites and IoT devices.",,,https://indiaai.gov.in/startup/govocal-ai
Fyle Technologies,,Type: Technology company,Sivaramakrishnan Narayanan is the,2016,"Karnataka, India",,40,https://FT.com,Technology,,,,https://indiaai.gov.in/startup/fyle-technologies
Vahan,,"Vahan is a  company founded in 2016, based in Karnataka, India",,2016,"Karnataka, India",,40,https://vahan.com,Other,,,,https://indiaai.gov.in/startup/vahan
ContextAlly,Digital Advertising platform for advanced mobility.,Digital Advertising platform for advanced mobility. | Type: SaaS company,,2015,"Karnataka, India",,8,https://C.ai,SaaS,,,Multi-side business models,https://indiaai.gov.in/startup/contextally
InFeedo,People analytics and employee engagement platform.,People analytics and employee engagement platform. | Type: SaaS company,,2013,"Haryana, India",,50,https://infeedo.com,SaaS,,,,https://indiaai.gov.in/startup/infeedo
InsigniQ,"Fraud detection, credit scoring, and analytics platform.","Fraud detection, credit scoring, and analytics platform. | Type: SaaS company",of Insigniq,2016,"Karnataka, India",,10,https://I.ai,SaaS,,,,https://indiaai.gov.in/startup/insigniq
Praktice.ai,,"Praktice.ai is a  company founded in 2017, based in Karnataka, India",Srinath Akula,2017,"Karnataka, India",,50,https://P.ai,Other,,,,https://indiaai.gov.in/startup/praktice-ai
Streamoid,,"Streamoid is a  company founded in 2013, based in Karnataka, India",,2013,"Karnataka, India",,25,https://streamoid.com,Other,,,,https://indiaai.gov.in/startup/streamoid
Artivatic,AI and Computer Vision real-time decision making solution for enterprises.,"AI and Computer Vision real-time decision making solution for enterprises. | Technologies: Artivatic is an enterprise tech platform that automates decision making, prediction, personalization and recommendation in real time. It offers AI and Computer Vision technology for businesses which enables them to take pro-active decisions in real time. Its core technology 'connected-intelligence-data-genome' provides a view on individuals personalized | Type: SaaS company",is Layak Singh,2016,"Karnataka, India",,31,https://artivatic.com,SaaS,"Artivatic is an enterprise tech platform that automates decision making, prediction, personalization and recommendation in real time. It offers AI and Computer Vision technology for businesses which enables them to take pro-active decisions in real time. Its core technology 'connected-intelligence-data-genome' provides a view on individuals personalized, interest, taste, health, lifestyle, fitness, eating, entertainment and physiologic response in real time. This personalized and recommended real-time decision-making system enables consumers and businesses to manage their activities, lifestyle, time, health, users and interaction.",,,https://indiaai.gov.in/startup/artivatic
Aureus Analytics,AI-powered analytics platform for insurance companies.,AI-powered analytics platform for insurance companies. | Type: Fintech company,,2012,"Maharashta, India",,47,https://aureusanalytics.co.in,Fintech,,,,https://indiaai.gov.in/startup/aureus-analytics
Karza Technologies,Banking and business intelligence solution provider.,Banking and business intelligence solution provider. | Type: Fintech company,Omkar Shirhatti,2015,,,28,https://KT.io,Fintech,,,,https://indiaai.gov.in/startup/karza-technologies
FEDO,,"FEDO is a  company founded in 2017, based in Karnataka, India",,2017,"Karnataka, India",,5,https://fedo.com,Other,,,,https://indiaai.gov.in/startup/fedo
UnderstandBetter,All-in-One Employee Survey Platform for Growing Businesses.,"All-in-One Employee Survey Platform for Growing Businesses. | Technologies: UnderstandBetter is an AI-powered people analytics online platform that promotes open and transparent communication across all levels of the company. UnderstandBetter is a product of Skcript, an international technology consulting firm. It was developed for keeping manager - employee dynamics in mind and its impact on employee productivity, engagement and retention. The company manages people with an AI powered HR solution that provides customized | Type: SaaS company",,2016,"Tamil Nadu, India",,10,https://www.thesaurus.com/browse/HATE,SaaS,"UnderstandBetter is an AI-powered people analytics online platform that promotes open and transparent communication across all levels of the company. UnderstandBetter is a product of Skcript, an international technology consulting firm. It was developed for keeping manager - employee dynamics in mind and its impact on employee productivity, engagement and retention. The company manages people with an AI powered HR solution that provides customized, contextual solutions for employee engagement.",,,https://indiaai.gov.in/startup/understandbetter
Frrole,"AI-powered consumer intelligence platform for marketers, analysts, and salespeople.","AI-powered consumer intelligence platform for marketers, analysts, and salespeople. | Technologies: Frrole is a social intelligence company that provides contextual topical and people insights to brands, media, and technology companies by analyzing social data in real-time. The company’s product DeepSense is a behavior as a service offering that gives insights about the user by building a comprehensive profile based on his or her social media activity. | Type: Media company",Founder at Humantic AI,2012,"Karnataka, India",,50,https://F.ai,Media,"Frrole is a social intelligence company that provides contextual topical and people insights to brands, media, and technology companies by analyzing social data in real-time. The company’s product DeepSense is a behavior as a service offering that gives insights about the user by building a comprehensive profile based on his or her social media activity.",,,https://indiaai.gov.in/startup/frrole
Boxx.ai,,"Technologies: In the present world that we live in, data is abundant and mining insights from data using Artificial Intelligence is provides the cutting edge to businesses. Boxx.ai is an AI-enabled platform with plug and play engine that helps companies to solve some of the most critical analytics problems effectively and at affordable costs. It works with e-commerce companies to solve analytics problems and provide personalized experiences resulting in customers visiting the e-commerce site more often, spending more time | Type: SaaS company",Ajay Kashyap,2016,"Karnataka, India",,50,https://B.io,SaaS,"In the present world that we live in, data is abundant and mining insights from data using Artificial Intelligence is provides the cutting edge to businesses. Boxx.ai is an AI-enabled platform with plug and play engine that helps companies to solve some of the most critical analytics problems effectively and at affordable costs. It works with e-commerce companies to solve analytics problems and provide personalized experiences resulting in customers visiting the e-commerce site more often, spending more time, and buying more often. The company focuses on technology to build products that enable enterprises to solve their most critical analytics problems.",,,https://indiaai.gov.in/startup/boxx-ai
FrontdeskAI,Advanced AI-powered customer texting and webchat assistants in the wellness industry.,Advanced AI-powered customer texting and webchat assistants in the wellness industry. | Type: Healthcare company,,2017,"Karnataka, India",,15,https://F.ai,Healthcare,,,,https://indiaai.gov.in/startup/frontdeskai
Mihup,Voice technology platform which can be integrated to any device or application.,Voice technology platform which can be integrated to any device or application. | Type: SaaS company,of Mihup,2016,"West Bengal, India",,20,https://mihup.com,SaaS,,,,https://indiaai.gov.in/startup/mihup
Climate Connect,,"Technologies: It deploys artificial intelligence (AI) and machine learning technology software across the energy generation, transmission and distribution spectrum currently works with a portfolio of 20 gigawatts (GW). It has developed E.A.G.L.E (Energy and Artificial Intelligence Guided Learning Engine) platform that helps customers engage in energy trading, demand management | Type: AI/ML company",Nitin Tanwar,2010,,,52,https://climate-connect.com,AI/ML,"It deploys artificial intelligence (AI) and machine learning technology software across the energy generation, transmission and distribution spectrum currently works with a portfolio of 20 gigawatts (GW). It has developed E.A.G.L.E (Energy and Artificial Intelligence Guided Learning Engine) platform that helps customers engage in energy trading, demand management, and renewable generation.",,,https://indiaai.gov.in/startup/climate-connect
Unbxd,,Unbxd is a  company founded in 2011,,2011,,,144,https://unbxd.com,Other,,,,https://indiaai.gov.in/startup/unbxd
SenseForth,Conversational AI platform for enterprises,Conversational AI platform for enterprises | Type: SaaS company,,2012,"Karnataka, India",,68,https://S.ai,SaaS,,,,https://indiaai.gov.in/startup/senseforth
SetuServ,Builds Voice of Customer solutions using Natural Language Processing.,Builds Voice of Customer solutions using Natural Language Processing. | Technologies: and Services | Type: AI/ML company,,,"Telengana, India",,51,https://setuserv.com,AI/ML,and Services,,,https://indiaai.gov.in/startup/setuserv
Karna AI,AI-powered consumer insights tech platform for brands and agencies.,AI-powered consumer insights tech platform for brands and agencies. | Type: SaaS company,,2012,"Haryana, India",,28,https://KA.io,SaaS,,,,https://indiaai.gov.in/startup/karna-ai
Maxerience,,"Maxerience is a  company founded in 2015, based in Karnataka, India",Pradeep Pydah,2015,"Karnataka, India",,10,https://maxerience.com,Other,,,,https://indiaai.gov.in/startup/maxerience
CutShort.io,Artificial Intelligence based recruitment platform.,Artificial Intelligence based recruitment platform. | Type: SaaS company,,2015,"Maharashtra, India",,25,https://C.ai,SaaS,,,,https://indiaai.gov.in/startup/cutshort-io
Belong Pvt. Ltd.,"Belong is a predictive outbound hiring solution, which helps companies in identifying right candidates.","Belong is a predictive outbound hiring solution, which helps companies in identifying right candidates. | Technologies: Online Recruitment | Type: HR Tech company",,,"Karnataka, India",,200,https://BPL.in,HR Tech,Online Recruitment,,,https://indiaai.gov.in/startup/belong-pvt-ltd
Datoin,Datoin is a cloud-based platform for building AI-driven model.,"Datoin is a cloud-based platform for building AI-driven model. | Technologies: Datoin is using business intelligence technology which provides historical, current and predictive views of business operations using there ML model and data science. The common function of this model includes reporting, online data analytical processing | Type: SaaS company",,,"Karnataka, India",,50,https://datoin.com,SaaS,"Datoin is using business intelligence technology which provides historical, current and predictive views of business operations using there ML model and data science. The common function of this model includes reporting, online data analytical processing, data mining, process mining, complex event processing, business performance management, benchmarking, text mining, predictive analytics, and prescriptive analytics.",,,https://indiaai.gov.in/startup/datoin
Zigihub,Zigihub is a machine learning platform that provides digital marketing services.,Zigihub is a machine learning platform that provides digital marketing services. | Type: SaaS company,Dinesh Jain is the,,,,18,https://zigihub.com,SaaS,,,,https://indiaai.gov.in/startup/zigihub
Clodura Systems Pvt. Ltd.,Clodura is an AI-powered B2B lead generation automation and sales intelligence platform.,Clodura is an AI-powered B2B lead generation automation and sales intelligence platform. | Technologies: and Services | Type: SaaS company,,,"Maharshtra, India",,23,https://CSPL.in,SaaS,and Services,,,https://indiaai.gov.in/startup/clodura-systems-pvt-ltd
Norah AI,Norah AI is an AI empowered workflow for generating games.,"Norah AI is an AI empowered workflow for generating games. | Technologies: Since Norah AI technology has simplified the process of creating animation, animators can now experiment and create animations suitable for any purposes with ease. | Type: Technology company",,,"Karnataka, India",,7,https://NA.com,Technology,"Since Norah AI technology has simplified the process of creating animation, animators can now experiment and create animations suitable for any purposes with ease.",,,https://indiaai.gov.in/startup/norah-ai
NEURAi,NEURAi is a business analytics platform which helps decision makers to get answers from their company data.,NEURAi is a business analytics platform which helps decision makers to get answers from their company data. | Technologies: It is NEURAi’s conversational interface to access the company’s data. It uses “Relational Search” technology to answer decision makers’ business questions in natural language. | Type: SaaS company,,,"Karnataka, India",,0,https://www.neurai.finance/about-us/,SaaS,It is NEURAi’s conversational interface to access the company’s data. It uses “Relational Search” technology to answer decision makers’ business questions in natural language.,,,https://indiaai.gov.in/startup/neurai
Drive Analytics,Drive Analytics is a computer vision platform.,"Drive Analytics is a computer vision platform | Technologies: The company uses machine learning to develop its image and video recognition technology, which can be used for analyzing sporting events or for running video analytics on brand presence, which in turn reduces the sponsor’s spend on generating a return on investment. | Type: AI/ML company",,,"Tamil Nadu, India",,14,https://driveanalytics.com,AI/ML,"The company uses machine learning to develop its image and video recognition technology, which can be used for analyzing sporting events or for running video analytics on brand presence, which in turn reduces the sponsor’s spend on generating a return on investment.",,,https://indiaai.gov.in/startup/drive-analytics
Arya.ai,Arya.ai simplifies the business processes with AI-powered tools,"Arya.ai simplifies the business processes with AI-powered tools | Technologies: Arya.ai’s clients include large banking and financial companies, where it helps with technology for repetitive tasks such as claim processing, underwriting and cheque processing | Type: Fintech company",,,"Maharashtra, India",,28,https://A.io,Fintech,"Arya.ai’s clients include large banking and financial companies, where it helps with technology for repetitive tasks such as claim processing, underwriting and cheque processing, and digital fraud detection with credit cards and digital banking.",,,https://indiaai.gov.in/startup/arya-ai
Datacogin,"Datacogin, an AI solutions startup has developed an AI-based system for inspections of images in the areas of...","Datacogin, an AI solutions startup has developed an AI-based system for inspections of images in the areas of... | Technologies: Its deep learning technology can incorporate a wide range of inputs such as pathology investigations, especially images. Datacogin works with various partners and health agencies in India to develop AI-based solutions which can be easily integrated into the existing diagnostic modalities. | Type: AI/ML company",of Datacogin,,"Karnataka, India",,6,https://D.io,AI/ML,"Its deep learning technology can incorporate a wide range of inputs such as pathology investigations, especially images. Datacogin works with various partners and health agencies in India to develop AI-based solutions which can be easily integrated into the existing diagnostic modalities.",,,https://indiaai.gov.in/startup/datacogin
Intellibot,Intellibot introduced an AI enabled RPA platform that makes it simple to perform complex business processes.,Intellibot introduced an AI enabled RPA platform that makes it simple to perform complex business processes. | Type: SaaS company,Alekh Barli has,,"Telangana, India",,46,https://I.ai,SaaS,,,,https://indiaai.gov.in/startup/intellibot
Mobley Technologies,"Mobley Technologies offers an AI/NLP and machine learning model through its product mLeAP, which facilitates the...","Mobley Technologies offers an AI/NLP and machine learning model through its product mLeAP, which facilitates the... | Technologies: The company provides an analytics platform to lawyers and law firms, which enables them to reduce the time and energy spent on searching of a case. It leverages technology to extract legal data and generate useful insights for lawyers. The insights generated help end users in creating case strategies while saving time. | Type: AI/ML company",Abhishek Verma,,"Maharashtra, India",,6,https://MT.com,AI/ML,"The company provides an analytics platform to lawyers and law firms, which enables them to reduce the time and energy spent on searching of a case. It leverages technology to extract legal data and generate useful insights for lawyers. The insights generated help end users in creating case strategies while saving time.",,,https://indiaai.gov.in/startup/mobley-technologies
ThirdWatch,ThirdWatch provides AI-powered fraud prevention solution for e-commerce sites,ThirdWatch provides AI-powered fraud prevention solution for e-commerce sites | Type: E-commerce company,,,"Haryana, India",,11,https://thirdwatch.io,E-commerce,,,,https://indiaai.gov.in/startup/thirdwatch
Cognitifai,"Cognitifai is a video intelligence platform that incorporates computer vision, machine learning, deep learning...","Cognitifai is a video intelligence platform that incorporates computer vision, machine learning, deep learning... | Type: AI/ML company",at Cognitifai,,"Karnataka, India",,18,https://C.ai,AI/ML,,,,https://indiaai.gov.in/startup/cognitifai
Absolut-E Data Com Inc.,"Absolut-e Data is a data company providing solutions to Fortune 100 companies by architecting, designing and developing...","Absolut-e Data is a data company providing solutions to Fortune 100 companies by architecting, designing and developing... | Type: Other company",,,"Tamil Nadu, India",,0,https://ADCI.com,Other,,,,https://indiaai.gov.in/startup/absolut-e-data-com-inc
iEngage,iEngage is an augmented intelligence platform that can be embedded into any communication channel to manage...,"iEngage is an augmented intelligence platform that can be embedded into any communication channel to manage... | Technologies: iEngage is a passive API enabled platform that blends seamlessly into the enterprise technology stack to make interactions more meaningful. Interactions between employees, or employees and customers or any other stakeholder tend to be sliced and stored in siloed systems of record. The interaction context is usually lost or quickly turns into dark data that is stored in an archive. iEngage addresses that challenge. | Type: SaaS company",Dilip Ittyera,,"Maharashtra, India",,0,https://iengage.com,SaaS,"iEngage is a passive API enabled platform that blends seamlessly into the enterprise technology stack to make interactions more meaningful. Interactions between employees, or employees and customers or any other stakeholder tend to be sliced and stored in siloed systems of record. The interaction context is usually lost or quickly turns into dark data that is stored in an archive. iEngage addresses that challenge.",,,https://indiaai.gov.in/startup/iengage
Silversparro Technologies Pvt. Ltd.,Silversparro provides AI-powered video analytics for workplace productivity.,"Silversparro provides AI-powered video analytics for workplace productivity. | Technologies: Silversparro is a deep learning technology solution provider for enterprises in manufacturing, retail, and BFSI sector. The company works in areas like computer vision | Type: AI/ML company",,,"Delhi, India",,17,https://STPL.com,AI/ML,"Silversparro is a deep learning technology solution provider for enterprises in manufacturing, retail, and BFSI sector. The company works in areas like computer vision, natural language processing, image detection and classification among others. It has experience across verticals like Retail, Manufacturing, Insurance, Media and Healthcare in US and India geographies.",,,https://indiaai.gov.in/startup/silversparro-technologies-pvt-ltd
Inkers Technology Pvt. Ltd.,"Inkers develop large scale scene recognition, motion estimation, and feature extraction solutions.","Inkers develop large scale scene recognition, motion estimation, and feature extraction solutions. | Technologies: Pvt. Ltd. | Type: Technology company",,,"Karnataka, India",,0,https://ITPL.com,Technology,Pvt. Ltd.,,,https://indiaai.gov.in/startup/inkers-technology-pvt-ltd
Predictly Tech Labs,"Predictly builds products and solutions for various real-world business problems using AI, semantic web, and deep tech","Predictly builds products and solutions for various real-world business problems using AI, semantic web, and deep tech | Type: Technology company",,,"Karnataka, India",,0,https://PTL.com,Technology,,,,https://indiaai.gov.in/startup/predictly-tech-labs
Fluid AI,"Fluid AI provides AI across different platforms like retail stores and branches, mobile phones and different sectors of...","Fluid AI provides AI across different platforms like retail stores and branches, mobile phones and different sectors of... | Technologies: The initiative, called Polymathic AI, uses technology similar to that powering large language models such as OpenAI's ChatGPT or Google's... | Type: SaaS company",is Abhinav Aggarwal,,"Maharashtra, India",,40,https://fluid-ai.com,SaaS,"The initiative, called Polymathic AI, uses technology similar to that powering large language models such as OpenAI's ChatGPT or Google's...",,,https://indiaai.gov.in/startup/fluid-ai
Genesis Artificial Intelligence,"Glib, a bot designing platform that supercharge your lending operations.","Glib, a bot designing platform that supercharge your lending operations. | Type: Fintech company",,,"Gujarat, India",,12,https://genesisartificialintelligence.com,Fintech,,,,https://indiaai.gov.in/startup/genesis-artificial-intelligence
IceCream Labs Pvt. Ltd.,IceCream labs enable intelligent merchandising for retailers & brands with its SaaS AI platform.,IceCream labs enable intelligent merchandising for retailers & brands with its SaaS AI platform. | Type: SaaS company,,,"Karnataka, India",,32,https://ILPL.com,SaaS,,,,https://indiaai.gov.in/startup/icecream-labs-pvt-ltd
Indian Text to Speech Pvt. Ltd.,Indian TTS is a Text to Speech / Speech Recognition engine for Indian Languages and will be a core product for our...,"Indian TTS is a Text to Speech / Speech Recognition engine for Indian Languages and will be a core product for our... | Technologies: Some of the salient features of IndianTTS engine are its strong significance of rhythm and prosody of speech, which is very close to the natural enunciation. High quality of sound, Indian naming conversion | Type: Technology company",,,"Gujarat, India",,0,,Technology,"Some of the salient features of IndianTTS engine are its strong significance of rhythm and prosody of speech, which is very close to the natural enunciation. High quality of sound, Indian naming conversion, advanced speech synthesis technology, easy integration and dynamic text voice conversion are our key features, this boosts up their objective for development of India, through digital India movement.",,,https://indiaai.gov.in/startup/indian-text-to-speech-pvt-ltd
Lightmetrics,Lightmetrics wanted to build a driver behavior platform that wouldn’t feel like an intrusive monitor that only alerted...,"Lightmetrics wanted to build a driver behavior platform that wouldn’t feel like an intrusive monitor that only alerted... | Technologies: ADAS provides surround view, lane departure warning, driver drowsiness warning | Type: AI/ML company",,,"Karnataka, India",,7,https://lightmetrics.co.in,AI/ML,"ADAS provides surround view, lane departure warning, driver drowsiness warning, and pedestrian and number plate recognition, leveraging computer vision and machine learning technology. For low speed maneuvering and parking, they have “CAR-Park”.",,,https://indiaai.gov.in/startup/lightmetrics
AlgonoX,"AlogonX provides automation consulting and design, implementation and developer training services.","AlogonX provides automation consulting and design, implementation and developer training services. | Technologies: It uses Machine learning, NLP (natural language processing), data science and data analytics algorithms to deliver intelligent business decisions with continuously monitored improvement. It helps in the decision process through its AI-ML based process assessment tool that achieves transformation by doing a 360-degree assessment across various functions. AlgonoX provides a fully managed | Type: AI/ML company",,,"Telengana, India",,105,https://algonox.com,AI/ML,"It uses Machine learning, NLP (natural language processing), data science and data analytics algorithms to deliver intelligent business decisions with continuously monitored improvement. It helps in the decision process through its AI-ML based process assessment tool that achieves transformation by doing a 360-degree assessment across various functions. AlgonoX provides a fully managed, digital workforce that consists of robotic process automation, cognitive technology, AI and different types of automation.",,,https://indiaai.gov.in/startup/algonox
Tessact Private Limited,Tessact provides AI based video tagging solutions.,Tessact provides AI based video tagging solutions. | Type: Other company,,,"Maharashtra, India",,10,https://TPL.com,Other,,,,https://indiaai.gov.in/startup/tessact-private-limited
Uniphore Systems Solutions Pvt. Ltd.,Uniphore is a global Conversational AI technology company.,"Uniphore is a global Conversational AI technology company. | Technologies: Uniphore is a global, conversational AI technology company. Uniphore enables businesses globally to deliver transformational customer service across touch-points by providing an integrated suite of software products for Conversational Analytics, Conversational Assistant and Conversational Security. | Type: Cybersecurity company",Umesh Sachdev,,"Tamil Nadu, India",,198,https://www.uniphore.com/,Cybersecurity,"Uniphore is a global, conversational AI technology company. Uniphore enables businesses globally to deliver transformational customer service across touch-points by providing an integrated suite of software products for Conversational Analytics, Conversational Assistant and Conversational Security.",,,https://indiaai.gov.in/startup/uniphore-systems-solutions-pvt-ltd
Racetrack.ai,"They provide AI based solutions in the Real Estate, BFSI, Hospitality, and Education sectors.","They provide AI based solutions in the Real Estate, BFSI, Hospitality, and Education sectors. | Type: Healthcare company",,,"Karnataka, India",,66,https://R.ai,Healthcare,,,,https://indiaai.gov.in/startup/racetrack-ai
Smarter.codes,"A multi language, multi channel AI platform that can help you build smarter applications, websites, devices and robots.","A multi language, multi channel AI platform that can help you build smarter applications, websites, devices and robots. | Type: SaaS company",,,,,5,https://S.ai,SaaS,,,,https://indiaai.gov.in/startup/smarter-codes
Streamingo Solutions,Streamingo helps in generating insights leveraging video analytics.,Streamingo helps in generating insights leveraging video analytics. | Type: Media company,,,"Karnataka, India",,17,https://SS.com,Media,,,,https://indiaai.gov.in/startup/streamingo-solutions
Turing Analytics Pvt. Ltd.,They develop visual search and similar product recommendation solutions.,They develop visual search and similar product recommendation solutions. | Type: Other company,,,"Karnataka, India",,12,https://TAPL.com,Other,,,,https://indiaai.gov.in/startup/turing-analytics-pvt-ltd
Dextro Analytics Pvt. Ltd.,Dextro Analytics is a decision analysis and technology company.,"Dextro Analytics is a decision analysis and technology company. | Technologies: Dextro Analytics is a decision analysis and technology company, which combines industry knowledge, analytics | Type: SaaS company",,,"Karnataka, India",,14,https://DAPL.com,SaaS,"Dextro Analytics is a decision analysis and technology company, which combines industry knowledge, analytics, and technology to help clients make fact-based decisions in almost real-time. The customized software platform supports decision-making in marketing, sales, HR, academics and risk management by helping the clients take the leap from insights to foresight using most sophisticated technology and algorithms. Dextro adopts connected algorithms, simplicity and cross learning as their basic problem-solving approach.",,,https://indiaai.gov.in/startup/dextro-analytics-pvt-ltd
iYantras,iYantras is an AI and robotics consulting firm empowered by design thinking.,iYantras is an AI and robotics consulting firm empowered by design thinking. | Type: Other company,,,"Tamil Nadu, India",,9,https://iyantras.com,Other,,,,https://indiaai.gov.in/startup/iyantras
Number Theory AI,Helps organizations in overcoming data management challenges through its different products and solutions.,Helps organizations in overcoming data management challenges through its different products and solutions. | Type: Other company,,,"Haryana, India",,23,https://NTA.ai,Other,,,,https://indiaai.gov.in/startup/number-theory-ai
QuantMagnum Technologies,QuantMagnum offers proprietary quant models for various investment assets.,QuantMagnum offers proprietary quant models for various investment assets. | Type: Fintech company,,,"Maharashtra, India",,5,https://QT.io,Fintech,,,,https://indiaai.gov.in/startup/quantmagnum-technologies
Spoonshot,,"Spoonshot is a  company founded in 2015, based in Karnataka, India",,2015,"Karnataka, India",,20,https://spoonshot.com,Other,,,,https://indiaai.gov.in/startup/spoonshot
CureSkin,,"CureSkin is a  company founded in 2016, based in Karnataka, India",Gunavardhan Kakulapati Co,2016,"Karnataka, India",,36,https://cureskin.com,Other,,,,https://indiaai.gov.in/startup/cureskin
RecoSense Labs,,"RecoSense Labs is a  company founded in 2014, based in Karnataka, India",Amith Srinivas,2014,"Karnataka, India",,50,https://recosenselabs.com,Other,,,,https://indiaai.gov.in/startup/recosense-labs
Aeth Analytica,,Technologies: Aeth Analytica is an analytical software development company that develops analytics solutions using AI and data analytics technology. The solutions are primarily based on analyses of data in meaningful ways that empower companies to make better decisions. | Type: Technology company,As the Co,2017,"Kerala, India",,0,https://aethanalytica.com,Technology,Aeth Analytica is an analytical software development company that develops analytics solutions using AI and data analytics technology. The solutions are primarily based on analyses of data in meaningful ways that empower companies to make better decisions.,,,https://indiaai.gov.in/startup/aeth-analytica
Orbo AI,Orbo is an AI and computer vision-based platform focused on image enhancement and automation.,"Orbo is an AI and computer vision-based platform focused on image enhancement and automation. | Technologies: The Orbo’s face tracking technology can be implemented across devices to identify human emotions, transformative & augmented effects. | Type: SaaS company",,2015,"Maharashtra, India",,12,https://orboai.in,SaaS,"The Orbo’s face tracking technology can be implemented across devices to identify human emotions, transformative & augmented effects.",,,https://indiaai.gov.in/startup/orbo-ai
Entropik Tech,Entropik Tech develops an AI-powered SaaS platform that helps brands understand people’s ‘emotional’ response.,"Entropik Tech develops an AI-powered SaaS platform that helps brands understand people’s ‘emotional’ response. | Technologies: The technology uses advanced machine learning algorithms to recognize patterns of emotional engagement from data collected through user touch patterns, motion analytics and behavioral gestures. | Type: SaaS company",Ranjan Kumar,2016,"Maharashtra, India",,0,https://entropiktech.com,SaaS,"The technology uses advanced machine learning algorithms to recognize patterns of emotional engagement from data collected through user touch patterns, motion analytics and behavioral gestures.",,,https://indiaai.gov.in/startup/entropik-tech
Inclick,,"Inclick is a  company founded in 2016, based in New Delhi, India",founder is Siddhant Minocha,2016,"New Delhi, India",,3,https://inclick.io,Other,,,,https://indiaai.gov.in/startup/inclick
3LOQ Labs,"Delivers custom-made AI solutions that generate scalable, sustainable growth for the banking sector.","Delivers custom-made AI solutions that generate scalable, sustainable growth for the banking sector. | Type: Fintech company",Who are the,2012,"Telangana, India",,15,https://3L.com,Fintech,,,,https://indiaai.gov.in/startup/3loq-labs
AirCTO,AirCTO is an AI and human powered recruitment platform that identifies the right IT talent to match the job...,"AirCTO is an AI and human powered recruitment platform that identifies the right IT talent to match the job... | Technologies: Online Recruitment, Hospitality, Healthcare | Type: Healthcare company",,2015,"Karnataka, India",,0,https://A.io,Healthcare,"Online Recruitment, Hospitality, Healthcare",,,https://indiaai.gov.in/startup/aircto
